# Sanae · 日本語. One `English<TAB>日本語` per line. Keys are the English strings in the code.
Store	ストア
Search	検索
Installed	インストール済み
Updates	更新
Queue	キュー
Recipes	レシピ
Settings	設定
Info	情報
Dependencies	依存関係
Files	ファイル
PKGBUILD	PKGBUILD
all	すべて
explicit	明示的
dependencies	依存関係
orphans	孤立
AUR / local	AUR / ローカル
? help  q quit	? ヘルプ  q 終了
Featured	おすすめ
Internet	インターネット
Multimedia	マルチメディア
Graphics	グラフィック
Office	オフィス
Development	開発
Games	ゲーム
Education	教育
System	システム
Utilities	ユーティリティ
Other	その他
 Shelves 	 棚 
most installed apps you do not have yet	まだ入れていない人気アプリ
by popularity	人気順
 {} · {} apps 	 {} · {} 件 
No AppStream catalog found.\n\nInstall archlinux-appstream-data (sudo pacman -S archlinux-appstream-data) and press r.\nThe Search tab works without it.	AppStream カタログが見つかりません。\n\narchlinux-appstream-data をインストールして（sudo pacman -S archlinux-appstream-data）r を押してください。\n検索タブはなくても使えます。
type · Enter or ↓ to the results	入力 · Enter または ↓ で結果へ
/ to type · Esc clears	/ で入力 · Esc でクリア
  searching the AUR…	  AUR を検索中…
 Search 	 検索 
 {} results 	 {} 件 
 Installed · {} 	 インストール済み · {} 
 {} packages · f changes the filter · o queues the orphans 	 {} 個 · f でフィルター切替 · o で孤立パッケージをキューへ 
 Arch news 	 Arch ニュース 
 read before updating 	 更新前に読んでください 
Checking for updates…	更新を確認中…
 Updates 	 更新 
Everything is up to date.	すべて最新です。
 {} updates 	 {} 件の更新 
 u or Enter updates everything 	 u または Enter ですべて更新 
 Queue · {} 	 キュー · {} 
 a applies · d drops one · c clears 	 a 適用 · d 一件削除 · c 全消去 
Mark packages with space anywhere; they show up here.	どこでもスペースでパッケージをマークすると、ここに表示されます。
Asking pacman what it would do…	pacman に処理内容を確認中…
Install ({}), {} to download	インストール ({})、ダウンロード {}
Remove ({})	削除 ({})
 What will happen 	 実行される内容 
 Recipes 	 レシピ 
 install and leave it configured · Enter applies 	 インストールして設定まで済ませる · Enter で適用 
packages   	パッケージ 
aur        	aur        
services   	サービス   
groups     	グループ   
files      	ファイル   
environment	環境変数   
commands   	コマンド   
\nAlready applied. Enter applies it again (safe).	\n適用済み。Enter で再適用（安全）。
\nNot applied yet.	\n未適用。
 What it does 	 内容 
Nothing selected.	何も選択されていません。
 Details 	 詳細 
